sample_id	trait
discovery_1	-0.409014774913
discovery_2	1.3381841814
discovery_3	-0.809376038986
discovery_4	1.16640337076
discovery_5	-0.627429644803
discovery_6	-1.05599499355
discovery_7	0.578176805617
discovery_8	0.778870572307
discovery_9	0.566206857401
discovery_10	-0.918196516563
discovery_11	2.35793590453
discovery_12	0.53517019078
discovery_13	-0.388678098981
discovery_14	-0.310012749292
discovery_15	0.917775942989
discovery_16	-0.629612273252
discovery_17	-2.03688716008
discovery_18	0.164476668465
discovery_19	1.62884078658
discovery_20	-0.588465961841
discovery_21	0.228893575538
discovery_22	-0.26858619331
discovery_23	-2.01957473291
discovery_24	0.0698868060845
discovery_25	-0.12207217855
discovery_26	0.733430656107
discovery_27	-1.80277742552
discovery_28	-0.93983327441
discovery_29	0.487680766446
discovery_30	0.376396223221
discovery_31	1.23914741158
discovery_32	0.846975543434
discovery_33	0.472496330154
discovery_34	0.428414049731
discovery_35	0.728746628783
discovery_36	-0.479905552769
discovery_37	0.895448758923
discovery_38	-0.682262234344
discovery_39	-0.272007354981
discovery_40	0.249529710393
discovery_41	0.743675654461
discovery_42	0.640395598456
discovery_43	2.23248483844
discovery_44	-0.765193180852
discovery_45	0.530264955794
discovery_46	-0.277587262531
discovery_47	-2.60483682394
discovery_48	-0.507953688322
